dag_name;script_name;main_table
common;update_calendar;public.daily_calendar
mock_integration;load_mock_activites;public.activites
mock_integration;load_mock_contrats;public.contrats
mock_integration;load_mock_entreprises;public.entreprises
mock_integration;load_mock_etablissements;public.etablissements
mock_integration;load_mock_postes;public.postes
mock_integration;load_mock_salaries;public.salaries
monthly_integration;allocate_ctt;public.contrats
monthly_integration;allocate_stt;public.salaries
monthly_integration;load_activites;public.activites
monthly_integration;load_contrats;public.contrats
monthly_integration;load_entreprises;public.entreprises
monthly_integration;load_etablissements;public.etablissements
monthly_integration;load_postes;public.postes
monthly_integration;load_salaries;public.salaries
monthly_integration;load_scripts_logs;log.scripts_logs
monthly_integration;modify_changements_contrats;public.contrats
monthly_integration;modify_changements_salaries;public.salaries
monthly_integration;modify_debuts_contrats;public.contrats
monthly_integration;modify_fins_contrats;public.contrats
monthly_integration;modify_ouverture_etablissements;public.etablissements
monthly_integration;monthly_sanity_checks;
monthly_integration;reindex_tables;
monthly_integration;remove_ctt;public.contrats
monthly_integration;remove_old_data;
monthly_integration;remove_stt;public.salaries
monthly_integration;set_dernier_mois_de_declaration_integre;public.chargement_donnees
monthly_integration;transform_activites;source.source_activites
monthly_integration;transform_changements_contrats;source.source_changements_contrats
monthly_integration;transform_changements_salaries;source.source_changements_salaries
monthly_integration;transform_contrats;source.source_contrats
monthly_integration;transform_entreprises;source.source_entreprises
monthly_integration;transform_etablissements;source.source_etablissements
monthly_integration;transform_fins_contrats;source.source_fins_contrats
monthly_integration;transform_salaries;source.source_salaries
test_integration;create_expected_tables;
test_integration;load_expected_contrats_comparisons;test.expected_contrats_comparisons
test_integration;load_expected_entreprises ;test.expected_entreprises
test_integration;load_expected_postes;test.expected_postes
test_integration;load_expected_activites;test.expected_activites
test_integration;load_expected_contrats;test.expected_contrats
test_integration;load_expected_etablissements;test.expected_etablissements
test_integration;load_expected_salaries;test.expected_salaries
update_database;update_categories_juridiques_insee;public.categories_juridiques_insee
update_database;update_conventions_collectives;public.conventions_collectives
update_database;update_motifs_recours;public.motifs_recours
update_database;update_naf;public.naf
update_database;update_natures_contrats;public.natures_contrats
monthly_integration;extract_activites;raw.raw_activites
monthly_integration;extract_changements_contrats;raw.raw_changements_contrats
monthly_integration;extract_changements_salaries;raw.raw_changements_salaries
monthly_integration;extract_contrats;raw.raw_contrats
monthly_integration;extract_etablissements;raw.raw_etablissements
monthly_integration;extract_fins_contrats;raw.raw_fins_contrats
monthly_integration;extract_remunerations;raw.raw_remunerations
monthly_integration;extract_salaries;raw.raw_salaries
monthly_integration;extract_versements;raw.raw_versements
monthly_integration;load_transformed_logs;log.processes_logs_transformed